      t         y1        y2      check
   0.00000   0.00000   1.00000   1.00000
   0.05000   0.05000   1.00000   1.00250
   0.10000   0.10000   0.99219   0.99444
   0.15000   0.14961   0.97656   0.97606
   0.20000   0.19844   0.95319   0.94794
   0.25000   0.24610   0.92218   0.91098
   0.30000   0.29221   0.88373   0.86636
   0.35000   0.33639   0.83807   0.81552
   0.40000   0.37830   0.78551   0.76013
   0.45000   0.41757   0.72640   0.70202
   0.50000   0.45389   0.66115   0.64314
   0.55000   0.48695   0.59023   0.58550
   0.60000   0.51646   0.51415   0.53108
   0.65000   0.54217   0.43345   0.48183
   0.70000   0.56384   0.34874   0.43953
   0.75000   0.58128   0.26064   0.40582
   0.80000   0.59431   0.16981   0.38204
   0.85000   0.60280   0.07695   0.36929
   0.90000   0.60665  -0.01724   0.36832
   0.95000   0.60579  -0.11202   0.37953
   1.00000   0.60018  -0.20668   0.40294
   1.05000   0.58985  -0.30046   0.43820
   1.10000   0.57483  -0.39262   0.48458
   1.15000   0.55520  -0.48244   0.54099
   1.20000   0.53108  -0.56919   0.60602
   1.25000   0.50262  -0.65217   0.67795
   1.30000   0.47001  -0.73070   0.75483
   1.35000   0.43347  -0.80414   0.83454
   1.40000   0.39327  -0.87187   0.91482
   1.45000   0.34967  -0.93332   0.99335
   1.50000   0.30301  -0.98795   1.06787
   1.55000   0.25361  -1.03530   1.13616
   1.60000   0.20184  -1.07493   1.19620
   1.65000   0.14810  -1.10646   1.24619
   1.70000   0.09277  -1.12960   1.28461
   1.75000   0.03629  -1.14410   1.31028
   1.80000  -0.02091  -1.14977   1.32241
   1.85000  -0.07840  -1.14650   1.32061
   1.90000  -0.13573  -1.13425   1.30495
   1.95000  -0.19244  -1.11305   1.27590
   2.00000  -0.24809  -1.08298   1.23439
   2.05000  -0.30224  -1.04421   1.18173
   2.10000  -0.35445  -0.99699   1.11962
   2.15000  -0.40430  -0.94161   1.05008
   2.20000  -0.45138  -0.87843   0.97539
   2.25000  -0.49530  -0.80791   0.89803
   2.30000  -0.53570  -0.73052   0.82062
   2.35000  -0.57222  -0.64681   0.74580
   2.40000  -0.60456  -0.55740   0.67619
   2.45000  -0.63243  -0.46294   0.61428
   2.50000  -0.65558  -0.36412   0.56237
   2.55000  -0.67379  -0.26169   0.52247
   2.60000  -0.68687  -0.15641   0.49625
   2.65000  -0.69469  -0.04909   0.48500
   2.70000  -0.69714   0.05946   0.48955
   2.75000  -0.69417   0.16839   0.51023
